AMPsuite Statement for On The Way Records,,,,,,,,,,,,,,,,,
Period 2024-10-01 to 2024-10-31,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
This Period: ,,,£ 123.42,,,,,,,,,,,,,,
Bought Forward: ,,,£ 12.58,,,,,,,,,,,,,,
PAYABLE: ,,,£ 136.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You are due a payment of £ 136.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Period From,Period To,Transaction Date,Distributor,UPC,Cat. No.,ISRC,Label,Release Title,Track Title,Mix Name,Artist,Content Type,Delivery Method,Territory,Suitebeats Comp.,Quantity,Revenue
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,AR,No,1,0.000201
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,AR,No,9,0.003916
2024-09-01,2024-09-30,,YouTube (Subscription),723277709499,,CA5KR2485551,On The Way Records,,Tell Me,,Austin Feldman,Track,Stream,AR,No,1,0.000288
2024-09-01,2024-09-30,,YouTube (Subscription),723277728353,,CA5KR2488300,On The Way Records,,You Make Me Feel,,"Brannco, Sevenkey, Anne Mulcahy",Track,Stream,AR,No,3,0.00136
2024-09-01,2024-09-30,,YouTube (Subscription),795397422527,,CA5KR2271914,On The Way Records,,Get Moving,,WCX,Track,Stream,AR,No,1,0.000288
2024-09-01,2024-09-30,,YouTube (Subscription),795397523132,,CA5KR2307741,On The Way Records,,Break My Body (Original Mix),,WCX,Track,Stream,AR,No,1,0.000288
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,AR,No,24,0.010884
2024-09-01,2024-09-30,,YouTube (Subscription),723277369747,,GXBNP2427568,On The Way Records,,Don't Look Back,,ZØDIAK,Track,Stream,AR,No,1,0.000288
2024-09-01,2024-09-30,,YouTube (Subscription),723277711461,,CA5KR2485733,On The Way Records,,Save Me,,IILO,Track,Stream,AR,No,1,0.000453
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427523,On The Way Records,,Angels,,"Naffe, Flare (BR)",Track,Stream,AT,No,1,0
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,AT,No,3,0.023825
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,AT,No,2,0.006964
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,AT,No,2,0.014114
2024-09-01,2024-09-30,,YouTube (Subscription),723277126951,,CA5KR2390785,On The Way Records,,Money,,Ban Dello,Track,Stream,AT,No,1,0.007942
2024-09-01,2024-09-30,,YouTube (Subscription),723277285368,,CA5KR2415987,On The Way Records,,Wasting Time,,"Stang, KORA",Track,Stream,AT,No,1,0.004927
2024-09-01,2024-09-30,,YouTube (Subscription),723277351629,,CA5KR2426161,On The Way Records,,Teenage Madness,,"DCVCV, Something Else DR",Track,Stream,AT,No,1,0.003482
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,AT,No,1,0.007942
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,AT,No,3,0.011124
2024-09-01,2024-09-30,,YouTube (Subscription),723277711249,,CA5KR2485714,On The Way Records,,Everything to Lose,,"Volyri, NONOGOOD",Track,Stream,AT,No,1,0.007942
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427523,On The Way Records,,Angels,,"Naffe, Flare (BR)",Track,Stream,AU,No,1,0.004431
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,AU,No,1,0.003377
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,AU,No,2,0.005939
2024-09-01,2024-09-30,,YouTube (Subscription),723277728353,,CA5KR2488300,On The Way Records,,You Make Me Feel,,"Brannco, Sevenkey, Anne Mulcahy",Track,Stream,AU,No,1,0.00782
2024-09-01,2024-09-30,,YouTube (Subscription),723277135373,,CA5KR2391470,On The Way Records,,Nobody Safe,,DSTYLER,Track,Stream,AU,No,1,0.00782
2024-09-01,2024-09-30,,YouTube (Subscription),723277663982,,CA5KR2479239,On The Way Records,,Lies,,Steek,Track,Stream,AU,No,6,0
2024-09-01,2024-09-30,,YouTube (Subscription),723277663982,,CA5KR2479239,On The Way Records,,Lies,,Steek,Track,Stream,AU,No,1,0.003644
