AMPsuite Statement for On The Way Records,,,,,,,,,,,,,,,,,
Period 2024-11-01 to 2024-11-30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
This Period: ,,,£ 279.06,,,,,,,,,,,,,,
Bought Forward: ,,,£ 0.00,,,,,,,,,,,,,,
Balance: ,,,£ 279.06,,,,,,,,,,,,,,
PAYABLE: ,,,£ 279.06,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You are due a payment of £ 279.06,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Period From,Period To,Transaction Date,Distributor,UPC,Cat. No.,ISRC,Label,Release Title,Track Title,Mix Name,Artist,Content Type,Delivery Method,Territory,Suitebeats Comp.,Quantity,Revenue
2024-10-01,2024-10-31,2024-10-16,Juno,5063544209310,OTW102E,GXBNP2428054,On The Way,Better,Better,extended mix,Austin Feldman,wav track,wav track,GB,No,1,0.5986
,,,Tidal,723277711324,,CA5KR2485720,On The Way Records,Embers,Embers,,LegacyOfficial & WHOWHENWHY,track,Streaming,CA,No,1,0.011433
,,,Tidal,5063544209341,,GXBNP2428057,On The Way Records,Chance to Forget,Chance to Forget,,Rose Motion & EDIBA,track,Streaming,US,No,73,0.561242
,,,Tidal,5063544209341,,GXBNP2428057,On The Way Records,Chance to Forget,Chance to Forget,,Rose Motion & EDIBA,track,Streaming,SG,No,1,0.006803
,,,Tidal,723277728346,,CA5KR2488299,On The Way Records,Control,Control,,ZØDIAK,track,Streaming,PL,No,1,0.003756
,,,Tidal,723277728346,,CA5KR2488299,On The Way Records,Control,Control,,ZØDIAK,track,Streaming,US,No,1,0.012805
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,BE,No,1,0.017022
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,US,No,4,0.015755
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,CO,No,1,0.001303
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,AR,No,3,0.003647
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,PL,No,1,0.003756
,,,Tidal,723277739021,,CA5KR2489986,On The Way Records,Iab,Iab,,Advanced & jeonghyeon,track,Streaming,SG,No,2,0.006012
,,,Tidal,5063544188790,,GXBNP2427810,On The Way Records,Burn for You,Burn for You,,Stang & LegacyOfficial,track,Streaming,BE,No,1,0.017022
,,,Tidal,5063544188790,,GXBNP2427810,On The Way Records,Burn for You,Burn for You,,Stang & LegacyOfficial,track,Streaming,PL,No,1,0.007668
,,,Tidal,5063544203141,,GXBNP2427927,On The Way Records,ADE EP,Badman,,DCVCV,track,Streaming,PL,No,1,0.003756
,,,Tidal,5063544203141,,GXBNP2427927,On The Way Records,ADE EP,Badman,,DCVCV,track,Streaming,SE,No,9,0.122469
,,,Tidal,723277549422,,CA5KR2460825,On The Way Records,The DJ,The DJ,,Wrex & Azooland,track,Streaming,US,No,3,0.038417
,,,Tidal,723277549422,,CA5KR2460825,On The Way Records,The DJ,The DJ,,Wrex & Azooland,track,Streaming,ES,No,1,0.011874
,,,Tidal,5063544168891,,GXBNP2427518,On The Way Records,Personal,Personal,,WHOWHENWHY & Rise Of The JellyFish,track,Streaming,AR,No,1,0.000567
,,,Tidal,5063544168891,,GXBNP2427518,On The Way Records,Personal,Personal,,WHOWHENWHY & Rise Of The JellyFish,track,Streaming,AR,No,1,0.001215
